roi_0_contour_0_x;roi_0_contour_0_y;roi_1_contour_0_x;roi_1_contour_0_y;roi_2_contour_0_x;roi_2_contour_0_y;roi_3_contour_0_x;roi_3_contour_0_y;roi_4_contour_0_x;roi_4_contour_0_y;roi_5_contour_0_x;roi_5_contour_0_y;roi_6_contour_0_x;roi_6_contour_0_y;roi_7_contour_0_x;roi_7_contour_0_y;roi_8_contour_0_x;roi_8_contour_0_y;roi_9_contour_0_x;roi_9_contour_0_y;
253.646;5.64645;30.8087;6.53806;180.809;44.5381;253.646;80.6464;39.6464;87.6464;119.809;109.538;191.809;145.538;43.6464;172.646;125.809;196.538;251.646;198.646;
296.191;5.53806;72.1913;6.53806;223.191;44.5381;296.354;80.6464;82.3536;87.6464;162.354;109.646;233.191;145.538;86.3536;172.646;168.354;196.646;294.191;198.538;
297.462;6.80866;73.4619;7.80866;224.462;45.8087;296.462;81.8087;82.4619;88.8087;162.462;110.809;234.462;146.809;86.4619;173.809;168.462;197.809;295.462;199.809;
297.462;7.80866;73.4619;8.80866;224.462;46.8087;298.462;83.8087;84.4619;90.8087;163.462;111.809;234.462;147.809;87.4619;174.809;170.462;199.809;295.462;200.809;
298.462;8.80866;75.4619;10.8087;225.462;47.8087;298.462;84.8087;84.4619;91.8087;163.462;112.809;236.462;149.809;87.4619;175.809;170.462;200.809;296.462;201.809;
298.462;9.80866;75.4619;11.8087;225.462;48.8087;299.462;85.8087;85.4619;92.8087;165.462;114.809;236.462;150.809;89.4619;177.809;171.462;201.809;296.462;202.809;
299.462;10.8087;76.4619;12.8087;227.462;50.8087;299.462;86.8087;85.4619;93.8087;165.462;115.809;237.462;151.809;89.4619;178.809;171.462;202.809;297.462;203.809;
299.462;11.8087;76.4619;13.8087;227.462;51.8087;300.462;87.8087;86.4619;94.8087;166.462;116.809;237.462;152.809;90.4619;179.809;172.462;203.809;297.462;204.809;
301.462;13.8087;77.4619;14.8087;228.462;52.8087;300.462;88.8087;86.4619;95.8087;166.462;117.809;238.462;153.809;90.4619;180.809;172.462;204.809;299.462;206.809;
301.462;14.8087;77.4619;15.8087;228.462;53.8087;302.462;90.8087;88.4619;97.8087;167.462;118.809;238.462;154.809;91.4619;181.809;174.462;206.809;299.462;207.809;
302.462;15.8087;79.4619;17.8087;229.462;54.8087;302.462;91.8087;88.4619;98.8087;167.462;119.809;240.462;156.809;91.4619;182.809;174.462;207.809;300.462;208.809;
302.462;16.8087;79.4619;18.8087;229.462;55.8087;303.462;92.8087;89.4619;99.8087;169.462;121.809;240.462;157.809;93.4619;184.809;175.462;208.809;300.462;209.809;
303.462;17.8087;80.4619;19.8087;231.462;57.8087;303.462;93.8087;89.4619;100.809;169.462;122.809;241.462;158.809;93.4619;185.809;175.462;209.809;301.462;210.809;
303.462;18.8087;80.4619;20.8087;231.462;58.8087;304.462;94.8087;90.4619;101.809;170.462;123.809;241.462;159.809;94.4619;186.809;176.462;210.809;301.462;211.809;
305.462;20.8087;81.4619;21.8087;232.462;59.8087;304.462;95.8087;90.4619;102.809;170.462;124.809;242.462;160.809;94.4619;187.809;176.462;211.809;303.462;213.809;
305.462;21.8087;81.4619;22.8087;232.462;60.8087;306.462;97.8087;92.4619;104.809;171.462;125.809;242.462;161.809;95.4619;188.809;178.462;213.809;303.462;214.809;
306.462;22.8087;83.4619;24.8087;233.462;61.8087;306.462;98.8087;92.4619;105.809;171.462;126.809;244.462;163.809;95.4619;189.809;178.462;214.809;304.462;215.809;
306.462;23.8087;83.4619;25.8087;233.462;62.8087;307.462;99.8087;93.4619;106.809;173.462;128.809;244.462;164.809;97.4619;191.809;179.462;215.809;304.462;216.809;
307.462;24.8087;84.4619;26.8087;235.462;64.8087;307.462;100.809;93.4619;107.809;173.462;129.809;245.462;165.809;97.4619;192.809;179.462;216.809;305.462;217.809;
307.462;25.8087;84.4619;27.8087;235.462;65.8087;308.462;101.809;94.4619;108.809;174.462;130.809;245.462;166.809;98.4619;193.809;180.462;217.809;305.462;218.809;
309.462;27.8087;85.4619;28.8087;236.462;66.8087;308.462;102.809;94.4619;109.809;174.462;131.809;246.462;167.809;98.4619;194.809;180.462;218.809;307.462;220.809;
